('2017-04-19 15:59:08'," ""$NFLX below last week's low"")"
('2017-04-18 17:12:59'," ""RT @johnwelshtrades: $NFLX priced for perfection like many techs expecting fading action on all tech earnings.   $NVDA breaks the $95 it's‰Û_"")"
('2017-04-18 17:12:48', 'RT @SeanaNSmith: $NFLX shares fall on subscriber miss. Netflix added 3.53M international subscribers and 1.42M US subscribers.')
('2017-04-18 17:12:43', 'RT @YahooFinance: #Stocks to Watch Today: $POST $UAL $FB $NFLX https://t.co/58ipHPMdw9 https://t.co/BHSuu9nTY5')
('2017-04-18 17:11:23', 'Cowen and Company Reaffirms ‰ÛÏOutperform‰Ûù Rating for Netflix Inc. $NFLX https://t.co/GEsTyvAFek')
('2017-04-18 17:10:55', 'RT @ElixiumCrypto: Are you Bullish or Bearish on #Netflix? Start #Trading $NFLX with #Bitcoin. 15:1 Leverage. #Cool #Gif #Stocks\n\nhttps://t‰Û_')
('2017-04-18 17:10:43', 'Breaking 20/50 SM\\u2026 $NFLX https://t.co/S8uzobzMKy TV_TradingIdeas')
('2017-04-18 17:10:06', '$SPY US Macro Data Crashes Most In 7 Years - What Happens Next? https://t.co/JwO09PYhxy $DIA $QQQ #stocks $TLT #stockmarket #investing $NFLX')
('2017-04-18 17:09:08', 'Loving this $NFLX action as silly staged/taped conference call &amp; no end #hemorrhaging tens $Bs cash #ComesToRoost \n\n$QQQ $AMZN $TWC $AAPL')
('2017-04-18 17:08:41', 'Breaking 20/50 SM\\u2026 $NFLX https://t.co/9mcWMVVR5N')
('2017-04-18 17:08:17', '$NFLX like it stick with it hate it short it @reedhastings  https://t.co/Zhuwu1EuRx')
('2017-04-18 17:08:15', '$NFLX:\n\nNetflix bulls on Wall Street unfazed by mixed results ‰ÛÓ research wrap:\n\nhttps://t.co/R9DHM9KDkY')
('2017-04-18 17:07:48', '$nflx day traders play toy today')
('2017-04-18 17:06:32', 'Tuesday‰Ûªs Vital Data: Bank of America Netflix &amp; Alibaba Group https://t.co/yvZonGpROv $BABA $BAC $NFLX #stock #trade #options #earnings')
('2017-04-18 17:06:13', 'RT @Benzinga: Earnings Ramp Up But International Uncertainty Signals Caution https://t.co/f3NwA5Y0Or $BAC $C $GS $JPM $NFLX $UAL')
('2017-04-18 17:05:47', 'Tuesday‰Ûªs Vital Data: Bank of America Netflix &amp; Alibaba Group https://t.co/U5JoyNRqqo $BABA $BAC $NFLX #stock‰Û_ https://t.co/hJ3Jna7JRW')
('2017-04-18 17:05:47', 'Tuesday‰Ûªs Vital Data: Bank of America Netflix &amp; Alibaba Group https://t.co/GSUDpCw7da $BABA $BAC $NFLX #stock‰Û_ https://t.co/Hdoek692w3')
('2017-04-18 17:05:38', '$NFLX took all my money and ran. Premium selling wins the day 4x')
('2017-04-18 17:04:45', 'Glad I bought a $150 strike $NFLX put yesterday...one of the stocks I love to hate. Fade looking good ; )')
('2017-04-18 17:04:17', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-18 17:04:09', 'RT @SeekingAlpha: Buy Sell Or Hold Netflix? https://t.co/zowylWoXNd $NFLX')
('2017-04-18 17:03:30', 'Benzinga: Earnings Ramp Up But International Uncertainty Signals Caution https://t.co/bA9XhT7iQI $BAC $C $GS $JPM $NFLX $UAL')
('2017-04-18 17:03:16', '$NFLX:\n\nWatching Netflix at night? Why you might be ‰Û÷sleeping‰Ûª with the enemy:\n\nhttps://t.co/qbC0ZBzUTF')
('2017-04-18 17:03:16', 'Buy Sell Or Hold Netflix? https://t.co/nVtN3h49rL $NFLX')
('2017-04-18 17:03:00', 'This cant be good - $NFLX chart https://t.co/zCAFsxQe6t')
('2017-04-18 17:02:59'," ""I guess Billy Madison isn't so bullish $NFLX"")"
('2017-04-18 17:02:06', '$NFLX:\n\n4 Major Keys For Netflix Going Forward:\n\nhttps://t.co/QnjEypuxnm')
('2017-04-18 17:01:24', '$NFLX off 3.3% ouchies')
('2017-04-18 17:01:24', '$NFLX nice short from 145 https://t.co/RYzXBWuu62')
('2017-04-18 17:01:22', '$NFLX whoa flash crash to 140')
('2017-04-18 17:01:05'," ""Today's million dollar PUT #options trade update:\n$SVXY $GILD $CVX $BAC $GNC $MCK $NFLX $TSLA $AMZN ...\nhttps://t.co/ORtVUPschv"")"
('2017-04-18 17:01:01'," ""Today's million dollar CALL #options trade update:\n$AMZN $TSLA $MON $AKRX $BAC $NVDA $NFLX $BABA $SHOP ...\nhttps://t.co/ORtVUPaBpX"")"
('2017-04-18 17:00:50', '$NFLX uggglllyyyy')
('2017-04-18 17:00:11', 'RT @IndepenObserver: $NFLX falling ~3% after reporting fewer-than-expected subscriptions.. https://t.co/OmHVdNv1kb #tech #entertainment #bu‰Û_')
('2017-04-18 17:00:05', 'Earnings Ramp Up But International Uncertainty Signals Caution https://t.co/f3NwA5Y0Or $BAC $C $GS $JPM $NFLX $UAL')
('2017-04-18 16:59:17', 'Buy Sell Or Hold Netflix? https://t.co/zowylWoXNd $NFLX')
('2017-04-18 16:59:14', '$NFLX and spill')
('2017-04-18 16:58:54', 'RT @ProVesting: $FB $NFLX:\n\nOn Facebook live a dozen people are kissing a car for days in ‰Û_:\n\nhttps://t.co/Huf1j9dZJT')
('2017-04-18 16:58:38', '$NFLX getting into ugly territory rel weakness against this attempted market rebound as well')
('2017-04-18 16:58:20', '$NFLX falling ~3% after reporting fewer-than-expected subscriptions.. https://t.co/OmHVdNv1kb #tech #entertainment #business #breaking #news')
('2017-04-18 16:58:15', '$FB $NFLX:\n\nOn Facebook live a dozen people are kissing a car for days in ‰Û_:\n\nhttps://t.co/Huf1j9dZJT')
('2017-04-18 16:55:07', 'RT @GerberKawasaki: Watched two episodes of #IronFist last night on Netflix. It is so good. Love this show. $nflx Love this company $6 bil‰Û_')
('2017-04-18 16:54:26', '$NFLX\nhttps://t.co/JFxtplDcQM')
('2017-04-18 16:54:11', 'Netflix Inc. $NFLX Shares Sold by Addison Capital Co https://t.co/WCi3trZr2i')
('2017-04-18 16:54:09', '$NFLX looks like moronz finally read thu damn earningz report')
('2017-04-18 16:54:08', 'Cullinan Associates Inc. Has $621000 Stake in Netflix Inc. $NFLX https://t.co/TQ63kxFIS4')
('2017-04-18 16:53:19'," ""$NFLX acting bearish \n\n$140-$138 is key support. Beneath that this month and it starts to look like there's a longer-term top in place"")"
('2017-04-18 16:52:12', 'RT @MapoftheMarket: Pre-Open: Select US Stocks Projected DAY Ranges 18Apr: $AAPL $AGN $AMZN $BAC $FB $GOOG $GILD $NFLX $NVDA $TSLA $SPY $QQ‰Û_')
('2017-04-18 16:51:37', '$NFLX is competing against sleep huh?  Hastings sure is feeling himself')
('2017-04-18 16:49:57', 'Sick on range on this  $NFLX but back to almost gap fill.')
('2017-04-18 16:49:57', '$NFLX through the 50 day now. Interesting.')
('2017-04-18 16:49:25'," ""RT @barronstechblog: Netflix Off 3% on Street‰Ûªs Familiar Debate of Growth Versus Cash Burn - Tech Trader Daily - Barron's $NFLX https://t.c‰Û_"")"
('2017-04-18 16:48:54', 'RT @DS_Investools: Still On Edge: Earnings Roll In But International Picture Creating Caution https://t.co/m49OBLWRCv via @TDAJJKinahan $B‰Û_')
('2017-04-18 16:48:14'," ""Benzinga: Cuban: Netflix Doesn't Have Enough Subscribers For Live Events...Yet https://t.co/IgMkm6oalU $NFLX"")"
('2017-04-18 16:48:09'," ""Netflix Off 3% on Street‰Ûªs Familiar Debate of Growth Versus Cash Burn - Tech Trader Daily - Barron's $NFLX https://t.co/dxC5dxbfeR"")"
('2017-04-18 16:47:04', 'RT @Sburgalet: Sorry we love the company...and the stock BUT we go temporary short $nflx 146.29')
('2017-04-18 16:46:21', '$NFLX Instinet reiterates Buy rating $165 PT https://t.co/PVA9z8TyDR')
('2017-04-18 16:46:16', '$NFLX $143 Shorts Wanted!!')
('2017-04-18 16:45:46', '$SPY $QQQ $GOOGL $PCLN $AMZN $NFLX $AAPL is this about to blow up?')
('2017-04-18 16:45:07', '$NFLX #stocks #stockmarket #investing #analystrating https://t.co/EvkjbQKuQX')
('2017-04-18 16:45:00'," ""Cuban: Netflix Doesn't Have Enough Subscribers For Live Events...Yet https://t.co/Tlmbm2B2G1 $NFLX"")"
('2017-04-18 16:44:25'," ""$NFLX ER provides a 143 142 churn and burner? C'mon sellers...get out near lows.. lots of fishing on the churn. #stocks #tradeideas #invest"")"
('2017-04-18 16:43:52', 'Settling is evil https://t.co/lISx9Hkqb9 $SPY $NFLX $NVDA')
('2017-04-18 16:43:14', 'Netflix reminds you that 50-day moving averages serve a purpose\n\n(via Matt Maley) $NFLX https://t.co/nkS4ZT2wTQ')
('2017-04-18 16:43:12', '$NFLX $GOOGL:\n\nNetflix Off 3%: Familiar Debate of Growth Versus Cash Burn On the ‰Û_:\n\nhttps://t.co/XeYwwhE9Ov')
('2017-04-18 16:43:04'," ""RT @TheBubbleBubble: Netflix will burn $2 billion in 2017 and negative free cash flow will continue 'for many years': https://t.co/kUiPgLp‰Û_"")"
('2017-04-18 16:41:14'," ""Netflix's Plan Doesn't Include Following Amazon Into Live Events @themotleyfool #stocks $AMZN $NFLX https://t.co/TPb6FX4cA5"")"
('2017-04-18 16:40:46', '$NFLX found a slippery slope for the $100 level? #stocks #tradeideas #investing')
('2017-04-18 16:38:30', 'Netflix Inc. $NFLX Stock Rating Reaffirmed by Needham &amp; Company LLC https://t.co/zFCjCKXxc3')
('2017-04-18 16:37:54', '$NFLX ROADMAP for post earnings:\nhttps://t.co/ZokRh7gbqs https://t.co/qdtYVMmqOz')
('2017-04-18 16:37:40'," ""$NFLX reality is this thing went up huge and the numbers were not enough to keep it going. hey don't own streaming media at this $val. imo"")"
('2017-04-18 16:37:07', '$GS $JNJ and $NFLX sinking slowly but steadily..... #stockmarket #stocks #investing #finance #stocktrading #daytrading #daytrader $SPY $QQQ')
('2017-04-18 16:37:03', '$nflx breaking through lows like a man! https://t.co/hyJC1PqOv2')
('2017-04-18 16:36:36'," ""RT @TheBubbleBubble: Netflix will burn $2 billion in 2017 and negative free cash flow will continue 'for many years': https://t.co/kUiPgLp‰Û_"")"
('2017-04-18 16:34:48', '@HalftimeReport $NFLX International will just make up domestic losses to skinny cable and smorgasbord $CMCSA')
('2017-04-18 16:34:25'," ""@jonnajarian not only has Pachter been at $60 he's been there since pre-split $NFLX"")"
('2017-04-18 16:34:23'," 'I won\'t go as far as @iBankCoin4tw &amp; call Wedbush ""America‰Ûªs worst investment bank"" but Michael Pachter should move on $NFLX')"
('2017-04-18 16:34:20', '$NFLX will close at 139.99 today.')
('2017-04-18 16:33:49', 'You have to fight tooth and nail and give up a part of your soul to get a clean move in this  $SPY $NFLX $NVDA')
('2017-04-18 16:32:31', 'Netflix Inc. $NFLX Receives Hold Rating from Deutsche Bank AG https://t.co/IXFGsh5qc8')
('2017-04-18 16:32:31', 'Netflix‰Ûªs $NFLX ‰ÛÏBuy‰Ûù Rating Reiterated at Instinet https://t.co/HSQdU077Q3')
('2017-04-18 16:32:29', 'Sell $NFLX.  The party is over.  Plenty of other good tech stocks to buy instead.')
('2017-04-18 16:32:01', 'Netflix‰Ûªs $NFLX ‰ÛÏBuy‰Ûù Rating Reiterated at Instinet https://t.co/eiapGTdNBG')
('2017-04-18 16:32:00', 'Netflix Inc. $NFLX Receives Hold Rating from Deutsche Bank AG https://t.co/UHMQJXyqxH')
('2017-04-18 16:31:58', 'First n 10:Start the day right. Turnaround Tues. Discussed: $NFLX $DD $MLM $WM $GS $BAC $HOG $UAL https://t.co/TYoU2N44rk #investools')
('2017-04-18 16:31:45', '$DJI falling below 20500 with most stocks trading in the RED. $NFLX popped +2% before the BELL now down -2%. $UAL falling another -3.5%.')
('2017-04-18 16:31:12'," ""Netflix's hold rating reiterated at Deutsche Bank AG. $125.00 PT. https://t.co/YlftGa1pLE $NFLX #NFLX"")"
('2017-04-18 16:31:11'," ""Netflix's buy rating reiterated at Instinet. $165.00 PT. https://t.co/2BiNSxS7rh $NFLX #NFLX"")"
('2017-04-18 16:31:05'," ""Netflix's neutral rating reiterated at Credit Suisse Group AG. $149.00 PT. https://t.co/fi29Z2kVId $NFLX #NFLX"")"
('2017-04-18 16:30:49'," ""RT @TheBubbleBubble: Netflix will burn $2 billion in 2017 and negative free cash flow will continue 'for many years': https://t.co/kUiPgLp‰Û_"")"
('2017-04-18 16:30:38', '$NFLX The bots working the option market. They are smoking call and put holders. #stockmarket #trade #investing')
('2017-04-18 16:30:03', '$NFLX $144.30 (-2.00%) is a top mover.  Try our #sentiment analysis tool free: https://t.co/GvMdw1aUkZ \n#trading')
('2017-04-18 16:30:02', 'Heads up $NFLX is geared up for another run higher It will squeeze all the shorts big time. IMO')
('2017-04-18 16:29:38'," ""Netflix's hold rating reiterated at Deutsche Bank AG. $125.00 PT. https://t.co/7nJprNnpqY $NFLX #NFLX"")"
('2017-04-18 16:29:37'," ""Netflix's buy rating reiterated at Instinet. $165.00 PT. https://t.co/gKwYbhqzNw $NFLX #NFLX"")"
('2017-04-18 16:29:29'," ""Netflix's neutral rating reiterated at Credit Suisse Group AG. $149.00 PT. https://t.co/A0QPey1kKM $NFLX #NFLX"")"
('2017-04-18 16:28:08', 'RT @ThePitBoss16: NetFlix $NFLX Key releases in Q1 to stimulate subscriber ads #Zombies #Family &amp; #Beastmaster \n$QQQ $SPX https://t.co/2wX‰Û_')
('2017-04-18 16:26:44'," ""10 Helpful Personal Finance Tips That Won't Require Drastic Lifes... https://t.co/DLPLN50juR $SBUX $NFLX"")"
('2017-04-18 16:26:18'," ""Have a great day! Stay frosty and don't get chopped up w/ earnings. Tickers referenced tdy: $AAPL $NFLX $CELG $IBB $BIS $LABD $LABU #Netflix"")"
('2017-04-18 16:25:40'," ""$NFLX I can't remember a time where Netflix didn't gap in either direction after ER"")"
('2017-04-18 16:25:23', '$NFLX 60min .618 https://t.co/yLBAMLJPMA')
('2017-04-18 16:24:52', 'harumph scratched balance of $NFLX')
('2017-04-18 16:24:20', 'Netflix: The Single Most Important Number From Q1 Earnings $NFLX $DIS -\n https://t.co/p97IbZeGB8')
('2017-04-18 16:24:05', 'Are you Bullish or Bearish on #Netflix? Start #Trading $NFLX with #Bitcoin. 15:1 Leverage. #Cool #Gif #Stocks‰Û_ https://t.co/saXf39jBRV')
('2017-04-18 16:22:53', 'RT @FoxBusiness: #StockAlert - Stocks to watch today on #WallStreet $NFLX $MCD https://t.co/5mDvnEZsiT')
('2017-04-18 16:20:19', '$NFLX so many idiots owning stuff that is so extremely overvalued it is scary and they are all in a hand full of stocks')
('2017-04-18 16:20:05', '$NFLX lmao wtf?!')
('2017-04-18 16:19:43', 'RT @Investing_Books: Trading Options Greeks by Dan Passarelli: https://t.co/tVvmiyqTNx $SPY $VIX $PCLN $C $WFC $WFM $NFLX')
('2017-04-18 16:19:37', 'Netflix: The Single Most Important Number From Q1 Earnings $NFLX $DIS -\n https://t.co/oI0gavE26G')
('2017-04-18 16:19:27', '$NFLX Our proprietary range calc predicted the exact move before the ER live on our screenshare yest ;) $NQ_F $SPY https://t.co/KzS4yKsW8V')
('2017-04-18 16:18:38', '$NFLX finally coming down.  Will be a good buy at a cheaper price.')
('2017-04-18 16:17:27'," ""RT @TheBubbleBubble: Netflix will burn $2 billion in 2017 and negative free cash flow will continue 'for many years': https://t.co/kUiPgLp‰Û_"")"
('2017-04-18 16:17:14', 'Netflix Inc. $NFLX PT Raised to $184.00 at Bank of America Corp https://t.co/ey459Xxjij')
('2017-04-18 16:15:29', 'The fads to come to a halt no matter who you are/were/will be:  $NFLX $TSLA Those doubting look at $BBBY $GPRO $CROX Time will tell.')
('2017-04-18 16:15:19'," ""RT @TheBubbleBubble: Netflix will burn $2 billion in 2017 and negative free cash flow will continue 'for many years': https://t.co/kUiPgLp‰Û_"")"
('2017-04-18 16:15:03', 'Only thing incinerating faster than $NFLX share/bond-holder cash is 43% $GNC shorts on $AMZN + sales leverage &amp; outright m&amp;a poss\n\n$XRT')
('2017-04-18 16:15:00'," ""RT @TheBubbleBubble: Netflix will burn $2 billion in 2017 and negative free cash flow will continue 'for many years': https://t.co/kUiPgLp‰Û_"")"
('2017-04-18 16:14:50'," ""Netflix will burn $2 billion in 2017 and negative free cash flow will continue 'for many years':‰Û_ https://t.co/u2KCkhMPgq"")"
('2017-04-18 16:10:09'," ""Long $NFLX stop yesterday's low."")"
('2017-04-18 16:06:47', '@Tony_BATtista $NFLX HighIV ER trade sold weekly calendar then capped it off with iron condor. Now just waiting for @tastytrade in CANADA')
('2017-04-18 16:06:38', '$NFLX what a trader today...')
('2017-04-18 16:04:16'," ""ESPN Radio is even talking about the Adam Sandler 500M hour news from $NFLX. For some ungodly reason he's big in LatAm."")"
('2017-04-18 16:03:57', 'Trading Options Greeks by Dan Passarelli: https://t.co/tVvmiyqTNx $SPY $VIX $PCLN $C $WFC $WFM $NFLX')
('2017-04-18 16:00:41'," 'Netflix Inc ( $NFLX :NASDAQ) forms bullish ""Continuation Diamond"" chart pattern. https://t.co/pGxICmML2c https://t.co/JUXmLth8Pq')"
('2017-04-18 16:00:33'," 'Watch live now""#PreMarket Live is on! $IDXG $GNC $BIOC $BLPH $FNJN $NFLX $TWTR $FB $SPY $QQQ"" on YouTube - https://t.co/yp8TwTp8BR')"
('2017-04-18 16:00:00'," ""RT @hammockmonk: As of today I'm back in the @tastytrade #optionstrading Comma Club. Thanks $NFLX! _ÙçÕ"")"
